format,metric,year,value_actual
8 - Track,Value (Adjusted),1973,2815.681824
8 - Track,Value (Adjusted),1974,2848.008609
8 - Track,Value (Adjusted),1975,2770.409498
8 - Track,Value (Adjusted),1976,3047.215772
8 - Track,Value (Adjusted),1977,3421.416287
8 - Track,Value (Adjusted),1978,3717.221411
8 - Track,Value (Adjusted),1979,2409.72569
8 - Track,Value (Adjusted),1980,1635.087852
8 - Track,Value (Adjusted),1981,880.3150825
8 - Track,Value (Adjusted),1982,95.37463212
8 - Track,Value (Adjusted),1983,
8 - Track,Value (Adjusted),1984,
8 - Track,Value (Adjusted),1985,
8 - Track,Value (Adjusted),1986,
8 - Track,Value (Adjusted),1987,
8 - Track,Value (Adjusted),1988,
8 - Track,Value (Adjusted),1989,
8 - Track,Value (Adjusted),1990,
8 - Track,Value (Adjusted),1991,
8 - Track,Value (Adjusted),1992,
8 - Track,Value (Adjusted),1993,
8 - Track,Value (Adjusted),1994,
8 - Track,Value (Adjusted),1995,
8 - Track,Value (Adjusted),1996,
8 - Track,Value (Adjusted),1997,
8 - Track,Value (Adjusted),1998,
8 - Track,Value (Adjusted),1999,
8 - Track,Value (Adjusted),2000,
8 - Track,Value (Adjusted),2001,
8 - Track,Value (Adjusted),2002,
8 - Track,Value (Adjusted),2003,
8 - Track,Value (Adjusted),2004,
8 - Track,Value (Adjusted),2005,
8 - Track,Value (Adjusted),2006,
8 - Track,Value (Adjusted),2007,
8 - Track,Value (Adjusted),2008,
8 - Track,Value (Adjusted),2009,
8 - Track,Value (Adjusted),2010,
8 - Track,Value (Adjusted),2011,
8 - Track,Value (Adjusted),2012,
8 - Track,Value (Adjusted),2013,
8 - Track,Value (Adjusted),2014,
8 - Track,Value (Adjusted),2015,
8 - Track,Value (Adjusted),2016,
8 - Track,Value (Adjusted),2017,
8 - Track,Value (Adjusted),2018,
8 - Track,Value (Adjusted),2019,
CD,Value (Adjusted),1973,
CD,Value (Adjusted),1974,
CD,Value (Adjusted),1975,
CD,Value (Adjusted),1976,
CD,Value (Adjusted),1977,
CD,Value (Adjusted),1978,
CD,Value (Adjusted),1979,
CD,Value (Adjusted),1980,
CD,Value (Adjusted),1981,
CD,Value (Adjusted),1982,
CD,Value (Adjusted),1983,44.14960241
CD,Value (Adjusted),1984,254.1806362
CD,Value (Adjusted),1985,925.4498281
CD,Value (Adjusted),1986,2169.585545
CD,Value (Adjusted),1987,3586.399606
CD,Value (Adjusted),1988,4516.462927
CD,Value (Adjusted),1989,5335.190475
CD,Value (Adjusted),1990,6751.535587
CD,Value (Adjusted),1991,8142.168641
CD,Value (Adjusted),1992,9706.037138
CD,Value (Adjusted),1993,11520.31135
CD,Value (Adjusted),1994,14601.94788
CD,Value (Adjusted),1995,15730.95769
CD,Value (Adjusted),1996,16187.86232
CD,Value (Adjusted),1997,15793.54966
CD,Value (Adjusted),1998,17905.40069
CD,Value (Adjusted),1999,19667.32779
CD,Value (Adjusted),2000,19618.92814
CD,Value (Adjusted),2001,18635.67745
CD,Value (Adjusted),2002,17115.94482
CD,Value (Adjusted),2003,15607.44302
CD,Value (Adjusted),2004,15491.67735
CD,Value (Adjusted),2005,13771.44276
CD,Value (Adjusted),2006,11885.76785
CD,Value (Adjusted),2007,9190.702658
CD,Value (Adjusted),2008,6496.779627
CD,Value (Adjusted),2009,5146.57822
CD,Value (Adjusted),2010,3973.859173
CD,Value (Adjusted),2011,3524.136143
CD,Value (Adjusted),2012,2767.776149
CD,Value (Adjusted),2013,2349.534897
CD,Value (Adjusted),2014,1918.215115
CD,Value (Adjusted),2015,1558.633452
CD,Value (Adjusted),2016,1204.497778
CD,Value (Adjusted),2017,1102.774352
CD,Value (Adjusted),2018,711.0412395
CD,Value (Adjusted),2019,614.5097799
CD Single,Value (Adjusted),1973,
CD Single,Value (Adjusted),1974,
CD Single,Value (Adjusted),1975,
CD Single,Value (Adjusted),1976,
CD Single,Value (Adjusted),1977,
CD Single,Value (Adjusted),1978,
CD Single,Value (Adjusted),1979,
CD Single,Value (Adjusted),1980,
CD Single,Value (Adjusted),1981,
CD Single,Value (Adjusted),1982,
CD Single,Value (Adjusted),1983,
CD Single,Value (Adjusted),1984,
CD Single,Value (Adjusted),1985,
CD Single,Value (Adjusted),1986,
CD Single,Value (Adjusted),1987,
CD Single,Value (Adjusted),1988,21.17868639
CD Single,Value (Adjusted),1989,
CD Single,Value (Adjusted),1990,11.73635807
CD Single,Value (Adjusted),1991,65.88517401
CD Single,Value (Adjusted),1992,82.1819722
CD Single,Value (Adjusted),1993,81.03176886
CD Single,Value (Adjusted),1994,96.77704251
CD Single,Value (Adjusted),1995,186.0391161
CD Single,Value (Adjusted),1996,299.9773977
CD Single,Value (Adjusted),1997,434.3779682
CD Single,Value (Adjusted),1998,334.3930822
CD Single,Value (Adjusted),1999,341.2852149
CD Single,Value (Adjusted),2000,211.8597787
CD Single,Value (Adjusted),2001,114.6197956
CD Single,Value (Adjusted),2002,27.85368093
CD Single,Value (Adjusted),2003,50.01984783
CD Single,Value (Adjusted),2004,20.30097935
CD Single,Value (Adjusted),2005,14.26861905
CD Single,Value (Adjusted),2006,9.764677083
CD Single,Value (Adjusted),2007,15.04590159
CD Single,Value (Adjusted),2008,4.156001078
CD Single,Value (Adjusted),2009,3.694172567
CD Single,Value (Adjusted),2010,3.400068331
CD Single,Value (Adjusted),2011,3.977965137
CD Single,Value (Adjusted),2012,3.59119832
